sector_id,area_m2,LST,NDVI,vegetation_cover_pct,vulnerability_index,vulnerability_class,population_density_per_km2,population_density_class,dist_hospital_km,outdoor_exposure,HHSI_season_mean,HHSI_season_max,danger_days
SEC-F47,900.0,36.8,0.29,13.8,0.575,Moderate,8886.6,Medium,0.35,Medium,37.61410958904109,50.02,20
SEC-F48,900.0,37.0,0.26,11.1,0.797,High,23914.6,High,0.33,Medium,39.75095890410959,52.86,42
SEC-F49,900.0,37.2,0.36,21.3,0.774,High,23914.6,High,0.3,Medium,39.52890410958904,52.57,39
SEC-F50,900.0,37.3,0.31,15.8,0.745,High,23914.6,High,0.27,High,39.250547945205476,52.19,35
SEC-F51,900.0,37.3,0.32,16.8,0.711,High,23914.6,High,0.24,Medium,38.923013698630136,51.76,34
SEC-F52,900.0,37.3,0.29,13.8,0.7,High,24912.8,High,0.22,High,38.816575342465754,51.62,34
SEC-F53,900.0,37.3,0.27,12.0,0.703,High,24912.8,High,0.19,High,38.846438356164384,51.66,34
SEC-F54,900.0,37.3,0.24,9.5,0.705,High,24912.8,High,0.16,High,38.86602739726027,51.68,34
SEC-F55,900.0,37.3,0.28,12.9,0.579,Moderate,16527.1,High,0.14,High,37.65246575342466,50.07,20
SEC-F56,900.0,37.5,0.31,15.8,0.576,Moderate,16527.1,High,0.12,High,37.623561643835615,50.03,20
SEC-F57,900.0,37.6,0.28,12.9,0.571,Moderate,16527.1,High,0.11,High,37.576027397260276,49.97,20
SEC-F58,900.0,37.8,0.31,15.8,0.561,Moderate,16527.1,High,0.1,High,37.47931506849315,49.84,20
SEC-F59,900.0,38.1,0.45,33.3,0.364,Moderate,4101.1,Low,0.09,Medium,35.58410958904109,47.32,5
SEC-F60,900.0,38.5,0.41,27.6,0.361,Moderate,4101.1,Low,0.1,High,35.554794520547944,47.28,5
SEC-F61,900.0,38.6,0.2,6.6,0.371,Moderate,4101.1,Low,0.11,High,35.65095890410959,47.41,6
SEC-F62,900.0,38.9,0.18,5.3,0.332,Moderate,1087.4,Low,0.13,High,35.27575342465754,46.91,1
SEC-F63,900.0,38.8,0.16,4.2,0.334,Moderate,1087.4,Low,0.15,High,35.294520547945204,46.93,1
SEC-F64,900.0,38.6,0.29,13.8,0.335,Moderate,1087.4,Low,0.17,High,35.30410958904109,46.95,1
SEC-F65,900.0,38.2,0.54,47.9,0.334,Moderate,1087.4,Low,0.2,Medium,35.294520547945204,46.93,1
SEC-F66,900.0,37.9,0.55,49.7,0.383,Moderate,4520.9,Medium,0.22,Low,35.76671232876712,47.56,7
SEC-F67,900.0,37.7,0.45,33.3,0.381,Moderate,4520.9,Medium,0.25,Medium,35.74712328767123,47.54,7
SEC-F68,900.0,37.7,0.42,29.0,0.377,Moderate,4520.9,Medium,0.28,Medium,35.70835616438356,47.48,7
SEC-F69,900.0,37.7,0.42,29.0,0.374,Moderate,4520.9,Medium,0.3,Medium,35.67972602739726,47.45,6
SEC-F70,900.0,37.6,0.36,21.3,0.37,Moderate,4520.9,Medium,0.33,High,35.64095890410959,47.4,6
SEC-G01,900.0,37.9,0.27,12.0,0.25,Low,1023.3,Low,1.72,High,34.4858904109589,45.86,0
SEC-G02,900.0,37.8,0.34,19.0,0.254,Low,1023.3,Low,1.69,High,34.52479452054794,45.91,0
SEC-G03,900.0,37.0,0.31,15.8,0.26,Low,1023.3,Low,1.66,Medium,34.5827397260274,45.99,0
