longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction
85.80020382717318,20.250407039556933,0.09788866,0.16577542,0.17025201,-0.15245129,37.577034320000024,0.0
85.80029365870159,20.250407039556933,0.072152674,0.14299333,0.14178458,-0.13653603,37.577034320000024,0.0
85.80038349023,20.250407039556933,0.033879414,-0.025398312,0.053391807,-0.11301368,37.65735779000002,0.0
85.80047332175842,20.250407039556933,0.04296392,-0.040534258,0.051796217,-0.12510493,37.65735779000002,0.0
85.80056315328683,20.250407039556933,0.096412,0.11382914,0.123827845,-0.1535696,37.65735779000002,0.0
85.80065298481524,20.250407039556933,0.14747234,0.19088799,0.18642648,-0.21971384,37.65735779000002,0.0
85.80074281634366,20.250407039556933,0.17596795,0.078468286,0.09472565,-0.2493617,37.65735779000002,0.0
85.80083264787207,20.250407039556933,0.19232637,0.02424483,0.061725304,-0.23833546,37.65735779000002,0.0
85.80092247940048,20.250407039556933,0.14545453,0.18901524,0.1708205,-0.20535713,37.676156900000024,0.0
85.8010123109289,20.250407039556933,0.08721423,0.17990206,0.18195285,-0.17188928,37.676156900000024,0.0
85.80110214245731,20.250407039556933,0.074405655,0.25513697,0.24992947,-0.20124266,37.676156900000024,0.0
85.79993433258795,20.25031720802852,0.39828083,-0.061792873,0.0059617036,-0.43445033,37.41126035000002,0.807843137254902
85.80002416411637,20.25031720802852,0.14532374,0.006242179,0.08597285,-0.21619558,37.41126035000002,0.0
85.80011399564478,20.25031720802852,0.06934671,0.06379235,0.11111111,-0.14933836,37.55823521000002,0.0
85.80020382717318,20.25031720802852,0.09268623,0.19533381,0.16983482,-0.15785715,37.55823521000002,0.0
85.80029365870159,20.25031720802852,0.08776268,0.15547024,0.14420384,-0.13256112,37.55823521000002,0.0
85.80038349023,20.25031720802852,0.038770013,-0.0016113231,0.07032161,-0.09610295,37.758189380000005,0.0
85.80047332175842,20.25031720802852,0.04137134,-0.009749079,0.052391797,-0.09840056,37.758189380000005,0.0
