longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction,heat_stress,vegetation_deficit,bare_soil_score,built_up_score,low_moisture_score,priority_score,priority_class,intervention_type,recommendation,sprayer_rank
85.8010123109289,20.248340914403457,0.26269165,0.20523268,0.1735263,-0.28013816,36.88659428000005,0.0,0.3201293451899777,1.0,0.6760819093994042,0.682684262126463,0.3897625546396384,65.4695771643514,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,11
85.8010123109289,20.248251082875043,0.25776604,0.1924464,0.16827564,-0.2932382,36.88659428000005,0.0,0.3201293451899777,1.0,0.666449090161578,0.6631922471224829,0.4097185098482833,65.32972427783066,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,12
85.80110214245731,20.248251082875043,0.25776604,0.1924464,0.16827564,-0.2932382,36.88659428000005,0.0,0.3201293451899777,1.0,0.666449090161578,0.6631922471224829,0.4097185098482833,65.32972427783066,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,13
85.8018207946846,20.248610408988693,0.07067193,0.009507058,0.053499296,-0.11271771,37.45398560000001,0.0,0.5885206143896388,1.0,0.45588131877083066,0.3843107898822041,0.13472249360080346,64.68417104808168,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,14
85.80092247940048,20.248610408988693,0.40679663,-0.09939467,-0.029047966,-0.44100335,37.35828104000001,0.0,0.543249797898126,1.0,0.30444076588348545,0.21829580224425527,0.634816655716441,64.39523000480303,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,15
85.8010123109289,20.24843074593187,0.25263157,0.19823788,0.15659635,-0.24257027,36.88659428000005,0.0,0.3201293451899777,1.0,0.6450223572563529,0.6720210554275765,0.33253348281059814,64.32476109692637,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,16
85.80137163704254,20.248161251346637,0.31668282,0.113903426,0.11944286,-0.34539145,36.88659428000005,0.0,0.3201293451899777,1.0,0.5768608588496044,0.5434575918775475,0.48916620015955414,63.58303115881441,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,17
85.80092247940048,20.24852057746028,0.3016838,-0.09244356,-0.02398358,-0.3255537,37.35828104000001,0.0,0.543249797898126,1.0,0.3137318483166609,0.2288924058235853,0.45894634965220493,62.881859216451595,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,18
85.80083264787207,20.247981588289807,0.3700165,0.09332751,0.10023828,-0.3543974,36.83532398,0.0,0.29587712206950184,1.0,0.5416282885292314,0.5120906842709072,0.5028854204681407,62.15049903741401,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,19
85.80056315328683,20.2478917567614,0.24866918,0.080455504,0.103378735,-0.29359245,36.89343031999999,0.0,0.323362974939346,1.0,0.5473897423920843,0.4924679844642926,0.4102581568365874,61.938996797070445,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,20
